0, main, Hello$, Hello$, /Users/fliu/Documents/scala-plugin-example/hello/Hello.scala, 1
1, foo, Hello$, Hello$, /Users/fliu/Documents/scala-plugin-example/hello/Hello.scala, 5
2, bar, Hello$, Hello$, /Users/fliu/Documents/scala-plugin-example/hello/Hello.scala, 10
